iter	R2	RMSE
163	0.8592227093	34860.31935
164	0.8599671834	34768.02106
165	0.860528815	34698.22871
166	0.860783186	34666.57253
167	0.8615836974	34566.76062
168	0.8624203245	34462.13666
169	0.8627675801	34418.6174
170	0.8629126173	34400.42454
171	0.8637057907	34300.76153
172	0.8639724462	34267.1909
173	0.8646282749	34184.48501
174	0.8652223472	34109.39404
175	0.8657608825	34041.17985
176	0.8662902175	33973.99755
177	0.8668196179	33906.6738
178	0.8671396456	33865.91104
179	0.8675253715	33816.71482
180	0.8677844936	33783.62567
181	0.8680128436	33754.43913
182	0.8684261578	33701.54713
183	0.8691877269	33603.87079
184	0.869797163	33525.50153
185	0.8700598726	33491.66234
186	0.8705292268	33431.12033
187	0.8710765607	33360.38095
188	0.8713260324	33328.08852
189	0.8718145741	33264.7593
190	0.8721567562	33220.33065
191	0.8724901045	33176.99176
192	0.8731428274	33091.96633
193	0.8735870956	33033.96959
194	0.8737408206	33013.87793
195	0.8741540192	32959.81268
196	0.8745760302	32904.50267
197	0.8751546925	32828.51
198	0.8755616477	32774.96117
199	0.8759268843	32726.82726
200	0.8762743299	32680.97218
201	0.8765152739	32649.13512
202	0.8766273679	32634.31304
203	0.8771391527	32566.55448
204	0.8777191902	32489.58866
205	0.8780235995	32449.12322
206	0.8782388494	32420.47933
207	0.8787340626	32354.48371
208	0.8791232699	32302.52056
209	0.8799481	32192.12007
210	0.8803030865	32144.48972
211	0.8808674027	32068.62691
212	0.8813390003	32005.09063
213	0.881734363	31951.72778
214	0.8820707712	31906.25187
215	0.8824482152	31855.15141
216	0.8830226924	31777.21779
217	0.883462846	31717.37696
218	0.8836925107	31686.10816
219	0.8840468634	31637.80249
220	0.8843681978	31593.93405
221	0.8849133131	31519.37547
222	0.8852583001	31472.09835
223	0.8855636516	31430.19356
224	0.8859895767	31371.6484
225	0.8864742586	31304.8937
226	0.8869987375	31232.49706
227	0.8872527619	31197.37231
228	0.8875260207	31159.54377
229	0.8879098196	31106.33494
230	0.8882123667	31064.3264
231	0.8885236432	31021.0464
232	0.8888761655	30971.95855
233	0.8891704984	30930.91375
234	0.8893724373	30902.72179
235	0.8895831586	30873.2763
236	0.8899400159	30823.3461
237	0.8905200568	30742.01581
238	0.8908845141	30690.80327
239	0.8910760391	30663.85641
240	0.8915854265	30592.072
241	0.8920509029	30526.32805
242	0.8922782954	30494.15956
243	0.89261689	30446.19669
244	0.8928757984	30409.47056
245	0.8933143729	30347.15739
246	0.893666182	30297.07931
247	0.8941968712	30221.38165
248	0.8944530539	30184.77174
249	0.8946649836	30154.45222
250	0.894964189	30111.59471
251	0.8951958479	30078.37048
252	0.8955959441	30020.90258
253	0.8960802301	29951.19455
254	0.8962973009	29919.89671
255	0.8965617614	29881.7218
256	0.8968013204	29847.09929
257	0.8969312377	29828.30603
258	0.8971645537	29794.52586
259	0.8975530252	29738.19666
260	0.8978516946	29694.81631
261	0.8981622569	29649.64125
262	0.8984129673	29613.12211
263	0.8987254747	29567.53829
264	0.8989072635	29540.98936
265	0.8992392514	29492.44326
266	0.8994521622	29461.26753
267	0.8997568863	29416.59044
268	0.900008138	29379.70208
269	0.9003180502	29334.13741
270	0.9007296525	29273.51215
271	0.9009383335	29242.72734
272	0.9012246107	29200.44265
273	0.9014638958	29165.05191
274	0.9016812152	29132.87269
275	0.9019318486	29095.71636
276	0.902347255	29034.02776
277	0.9025564126	29002.91782
278	0.9028658635	28956.82901
279	0.9031314459	28917.2153
280	0.9033705495	28881.50463
281	0.9036263591	28843.24993
282	0.9040275876	28783.14634
283	0.9042238001	28753.70818
284	0.9045877043	28699.03095
285	0.9047843719	28669.4379
286	0.905111277	28620.18
287	0.9053075138	28590.57038
288	0.9056503627	28538.76514
289	0.9059052144	28500.19545
290	0.9061131905	28468.68128
291	0.9064322313	28420.2698
292	0.9066807172	28382.50716
293	0.907002074	28333.59563
294	0.9072927877	28289.27523
295	0.9075639713	28247.86957
296	0.9078544505	28203.45033
297	0.9082486529	28143.05793
298	0.9083529226	28127.06197
299	0.9085221888	28101.07553
300	0.9087826431	28061.04253
301	0.9089979233	28027.90982
302	0.9092351371	27991.35601
303	0.9094173017	27963.25265
304	0.9096430748	27928.38236
305	0.9099445779	27881.7477
306	0.9101148316	27855.37941
307	0.9102679834	27831.63844
308	0.9104362543	27805.53041
309	0.910653911	27771.72353
310	0.9108514028	27741.01305
311	0.9110369612	27712.12724
312	0.9112112106	27684.97446
313	0.9114424104	27648.9061
314	0.9116768201	27612.28886
315	0.9119766994	27565.37371
316	0.9122659086	27520.05207
317	0.9124876009	27485.26034
318	0.9127770794	27439.76402
319	0.9132038564	27372.55107
320	0.9134927232	27326.96374
321	0.9136717888	27298.66637
322	0.9139097194	27261.02127
323	0.9141550757	27222.14675
324	0.9143838603	27185.8478
325	0.9146518784	27143.2623
326	0.914804767	27118.93982
327	0.914978182	27091.32544
328	0.9151285505	27067.35815
329	0.9154609067	27014.30835
330	0.9156468203	26984.58783
331	0.915884787	26946.49817
332	0.9160417604	26921.34303
333	0.9161700744	26900.76312
334	0.9164361232	26858.04208
335	0.9166763812	26819.40395
336	0.9169675664	26772.501
337	0.9173299094	26714.02122
338	0.9174884211	26688.39819
339	0.9176525799	26661.83637
340	0.9180475439	26597.82025
341	0.9182838772	26559.44136
342	0.9183937262	26541.58376
343	0.9185842218	26510.58731
344	0.9186927141	26492.9178
345	0.9188338711	26469.91072
346	0.9189839636	26445.42531
347	0.9192216834	26406.59831
348	0.9195827064	26347.52264
349	0.9197667299	26317.35911
350	0.9199216549	26291.93832
351	0.9201989551	26246.37616
352	0.9203655935	26218.95836
353	0.920609891	26178.71101
354	0.9207528084	26155.13706
355	0.9209223203	26127.1488
356	0.9210999647	26097.78558
357	0.9213937983	26049.14454
358	0.9215003462	26031.48422
359	0.9216833404	26001.12491
360	0.9218178923	25978.7797
361	0.9220620359	25938.1853
362	0.9222737862	25902.9255
363	0.9224876218	25867.26968
364	0.9226201441	25845.14769
365	0.9227646071	25821.01083
366	0.9230611063	25771.401
367	0.9233172517	25728.46609
368	0.923536284	25691.69514
369	0.9237856971	25649.7597
370	0.9240444947	25606.17377
371	0.9242100721	25578.24877
372	0.9243046036	25562.29212
373	0.9245072825	25528.04692
374	0.9247482492	25487.27262
375	0.9249071405	25460.35068
376	0.9250527684	25435.65101
377	0.9252686166	25398.99724
378	0.9254435339	25369.2552
379	0.925602784	25342.14678
380	0.925745338	25317.85584
381	0.9260605952	25264.05365
382	0.9262075003	25238.94347
383	0.9264190003	25202.74829
384	0.9265978163	25172.10589
385	0.9267150575	25151.99487
386	0.9268594362	25127.20666
387	0.927111943	25083.79521
388	0.9271862275	25071.00978
389	0.9273074777	25050.12684
390	0.9274067917	25033.00899
391	0.9275355286	25010.80236
392	0.9277009743	24982.23459
393	0.9278749158	24952.16459
394	0.9282258338	24891.38933
395	0.9284086237	24859.67322
396	0.9286346098	24820.40606
397	0.928752933	24799.82151
398	0.9289095767	24772.54409
399	0.9290195182	24753.38128
400	0.9291158806	24736.57309
401	0.9292975899	24704.84702
402	0.929445759	24678.94681
403	0.9295773088	24655.92888
404	0.9297143598	24631.9255
405	0.9298795606	24602.96078
406	0.9299794773	24585.42579
407	0.9301833181	24549.61368
408	0.9303812461	24514.7903
409	0.9306782123	24462.4492
410	0.9308370207	24434.41279
411	0.9309612747	24412.45423
412	0.9311058534	24386.87894
413	0.9312683381	24358.10411
414	0.9314443683	24326.89207
415	0.9316714057	24286.57668
416	0.9318123475	24261.51572
417	0.9319612033	24235.01942
418	0.9321749939	24196.91399
419	0.9324065624	24155.57205
420	0.9325255692	24134.29821
421	0.932610122	24119.17201
422	0.9327266383	24098.31212
423	0.9329976622	24049.72075
424	0.9331627372	24020.07659
425	0.9332525774	24003.9277
426	0.9333973206	23977.88707
427	0.9334700555	23964.79071
428	0.9335179745	23956.15868
429	0.9337096514	23921.59929
430	0.9338601212	23894.43453
431	0.9339973669	23869.6302
432	0.9341034744	23850.43576
433	0.9343103179	23812.97413
434	0.9343420628	23807.21955
435	0.9345242416	23774.16808
436	0.9346722913	23747.27453
437	0.9348181874	23720.74237
438	0.9350146738	23684.96306
439	0.9351008259	23669.25808
440	0.9352149892	23648.43076
441	0.9353415499	23625.32029
442	0.9354435737	23606.67387
443	0.9355907355	23579.75183
444	0.9356916897	23561.26529
445	0.9357891019	23543.41359
446	0.9358850789	23525.81167
447	0.9361518903	23476.80982
448	0.9362574405	23457.39652
449	0.936384937	23433.92528
450	0.9365991667	23394.43403
451	0.9367705459	23362.79382
452	0.9368568768	23346.83906
453	0.9368741151	23343.65196
454	0.937030432	23314.73143
455	0.9371311836	23296.07212
456	0.9372374239	23276.38009
457	0.9373302128	23259.16769
458	0.937581831	23212.42814
459	0.9377424153	23182.5494
460	0.937990846	23136.24971
461	0.938097086	23116.4216
462	0.938205403	23096.18833
463	0.9382552193	23086.87685
464	0.938359016	23067.46347
465	0.9385599916	23029.82793
466	0.9386334611	23016.05436
467	0.9386752618	23008.21417
468	0.9387876981	22987.11221
469	0.9388909818	22967.71091
470	0.9390154219	22944.3137
471	0.9392764449	22895.15852
472	0.9394639934	22859.77461
473	0.9395364914	22846.08207
474	0.9397725063	22801.44946
475	0.9398466284	22787.41424
476	0.9398819079	22780.73094
477	0.9400602719	22746.91184
478	0.9402201074	22716.56308
479	0.9402563823	22709.66974
480	0.9403542023	22691.07051
481	0.9404160528	22679.30256
482	0.9405223739	22659.05916
483	0.9405596367	22651.96008
484	0.9408166276	22602.93906
485	0.9409642267	22574.7364
486	0.9411909116	22531.35362
487	0.9414037873	22490.53742
488	0.9415132706	22469.51654
489	0.9417149727	22430.73797
490	0.9419753468	22380.57997
491	0.9421252786	22351.64632
492	0.9422880253	22320.1972
