iter	Passed	Remaining
417	2812	4925
418	2820	4920
419	2826	4912
420	2833	4907
421	2840	4899
422	2847	4894
423	2854	4888
424	2862	4883
425	2870	4877
426	2876	4871
427	2883	4864
428	2890	4857
429	2897	4851
430	2903	4842
431	2910	4837
432	2917	4830
433	2924	4825
434	2931	4818
435	2938	4811
436	2944	4804
437	2950	4796
438	2957	4790
439	2963	4782
440	2969	4774
441	2976	4767
442	2982	4759
443	2989	4753
444	2995	4745
445	3001	4737
446	3008	4730
447	3014	4723
448	3020	4715
449	3026	4708
450	3033	4700
451	3039	4694
452	3046	4687
453	3053	4680
454	3060	4674
455	3067	4668
456	3073	4660
457	3078	4651
458	3083	4642
459	3090	4636
460	3098	4631
461	3105	4625
462	3111	4617
463	3119	4611
464	3126	4605
465	3133	4598
466	3138	4590
467	3145	4583
468	3151	4575
469	3157	4568
470	3163	4560
471	3169	4553
472	3175	4544
473	3181	4537
474	3187	4529
475	3193	4521
476	3199	4514
477	3205	4507
478	3212	4499
479	3217	4491
480	3224	4484
481	3230	4476
482	3237	4471
483	3243	4462
484	3249	4455
485	3255	4447
486	3261	4440
487	3267	4432
488	3273	4424
489	3279	4416
490	3284	4408
491	3290	4400
492	3295	4391
493	3300	4383
494	3306	4375
495	3313	4368
496	3318	4360
497	3325	4353
498	3332	4347
499	3341	4343
500	3349	4338
501	3357	4333
502	3362	4325
503	3369	4319
504	3375	4311
505	3382	4304
506	3387	4296
507	3394	4289
508	3399	4281
509	3406	4274
510	3411	4266
511	3418	4259
512	3424	4251
513	3430	4244
514	3436	4236
515	3441	4228
516	3448	4221
517	3454	4214
518	3459	4206
519	3465	4198
520	3471	4191
521	3477	4183
522	3483	4175
523	3488	4167
524	3493	4159
525	3500	4152
526	3505	4143
527	3511	4136
528	3518	4130
529	3525	4124
530	3532	4117
531	3539	4111
532	3545	4104
533	3552	4097
534	3558	4090
535	3566	4085
536	3571	4077
537	3579	4071
538	3584	4063
539	3592	4058
540	3601	4054
541	3609	4049
542	3618	4045
543	3624	4037
544	3636	4036
545	3649	4037
546	3662	4037
547	3676	4038
548	3686	4035
549	3696	4032
550	3703	4025
551	3711	4020
552	3720	4016
553	3728	4011
554	3736	4005
555	3747	4003
556	3754	3997
557	3778	4008
558	3786	4003
559	3797	4000
560	3804	3994
561	3813	3989
562	3819	3982
563	3826	3975
564	3832	3968
565	3839	3961
566	3846	3954
567	3852	3946
568	3859	3940
569	3866	3933
570	3873	3927
571	3880	3921
572	3887	3914
573	3895	3908
574	3900	3900
575	3907	3894
576	3916	3889
577	3923	3882
578	3932	3877
579	3940	3872
580	3947	3866
581	3956	3861
582	3963	3854
583	3972	3850
584	3979	3843
585	3989	3839
586	3997	3833
587	4003	3826
588	4012	3821
589	4018	3813
590	4026	3808
591	4032	3800
592	4039	3794
593	4045	3786
594	4052	3779
595	4059	3773
596	4065	3765
597	4074	3760
598	4079	3752
599	4089	3748
600	4098	3743
601	4107	3738
602	4121	3738
603	4129	3732
604	4136	3725
605	4143	3719
606	4149	3711
607	4156	3704
608	4162	3697
609	4171	3692
610	4179	3686
611	4188	3682
612	4196	3676
613	4205	3671
614	4212	3664
615	4221	3659
616	4228	3652
617	4237	3647
618	4245	3642
619	4255	3637
620	4262	3630
621	4271	3626
622	4278	3619
623	4287	3613
624	4293	3606
625	4303	3601
626	4313	3598
627	4322	3593
628	4329	3585
629	4354	3594
630	4363	3588
631	4371	3583
632	4380	3577
633	4389	3572
634	4396	3565
635	4403	3559
636	4410	3551
637	4419	3546
638	4426	3540
639	4433	3533
640	4443	3528
641	4449	3520
642	4460	3517
643	4468	3511
644	4476	3504
645	4485	3499
646	4492	3492
647	4501	3486
648	4509	3481
649	4518	3475
650	4525	3468
651	4534	3463
652	4549	3462
653	4562	3459
654	4571	3454
655	4585	3453
656	4595	3448
657	4605	3443
658	4618	3441
659	4627	3435
660	4636	3430
661	4644	3423
662	4653	3418
663	4663	3413
664	4672	3407
665	4682	3402
666	4689	3395
667	4697	3389
668	4705	3383
669	4712	3375
670	4720	3370
671	4727	3362
672	4737	3357
673	4745	3351
674	4754	3345
675	4761	3338
676	4771	3333
677	4779	3327
678	4787	3321
679	4798	3316
680	4804	3308
681	4813	3302
682	4822	3297
683	4828	3289
684	4838	3284
685	4845	3277
686	4853	3271
687	4862	3265
688	4869	3257
689	4878	3252
690	4885	3245
691	4892	3238
692	4900	3231
693	4907	3224
694	4917	3219
695	4927	3214
696	4944	3213
697	4959	3211
698	4980	3213
699	4995	3211
700	5012	3210
701	5028	3208
702	5075	3227
703	5097	3229
704	5116	3229
705	5129	3225
706	5138	3219
707	5147	3213
708	5158	3208
709	5168	3203
710	5178	3197
711	5184	3189
712	5194	3183
713	5202	3176
714	5210	3169
715	5218	3163
716	5224	3155
717	5234	3149
718	5241	3142
719	5250	3135
720	5258	3128
721	5265	3121
722	5275	3115
723	5282	3108
724	5293	3102
725	5302	3096
726	5312	3091
727	5319	3083
728	5329	3077
729	5338	3071
730	5349	3066
731	5356	3058
732	5363	3051
733	5373	3045
734	5380	3037
735	5389	3031
736	5396	3023
737	5403	3016
738	5409	3008
739	5417	3001
740	5425	2994
741	5431	2986
742	5439	2979
743	5445	2971
744	5453	2964
745	5460	2957
746	5467	2949
747	5474	2942
748	5481	2934
749	5488	2926
750	5494	2919
751	5500	2911
752	5506	2903
753	5513	2895
754	5519	2887
755	5526	2880
756	5532	2872
757	5538	2864
758	5544	2856
759	5550	2848
760	5557	2841
761	5563	2832
762	5569	2824
763	5575	2817
764	5581	2808
765	5587	2801
766	5597	2795
767	5606	2788
768	5612	2780
769	5618	2772
770	5625	2765
771	5630	2757
772	5637	2749
773	5643	2741
774	5650	2733
775	5656	2726
776	5662	2718
777	5669	2710
778	5676	2703
779	5683	2695
780	5690	2688
781	5697	2681
782	5704	2673
783	5711	2666
784	5719	2659
785	5728	2652
786	5736	2645
787	5744	2639
788	5754	2632
789	5761	2625
790	5769	2618
791	5775	2610
792	5785	2604
793	5792	2597
794	5802	2590
795	5810	2584
796	5818	2577
797	5826	2570
798	5836	2563
799	5842	2556
800	5849	2548
801	5856	2541
802	5865	2534
803	5874	2528
804	5886	2522
805	5892	2514
806	5901	2508
807	5910	2501
808	5919	2495
809	5927	2488
810	5937	2481
811	5944	2474
812	5953	2467
813	5960	2460
814	5968	2453
815	5975	2445
816	5983	2438
817	5991	2431
818	5999	2424
819	6006	2417
820	6013	2409
821	6022	2403
822	6032	2396
823	6038	2388
824	6046	2381
825	6053	2374
826	6062	2367
827	6070	2360
828	6078	2353
829	6085	2346
830	6096	2340
831	6107	2334
832	6118	2328
833	6125	2321
834	6134	2314
835	6141	2306
836	6149	2299
837	6158	2292
838	6167	2286
839	6173	2278
840	6179	2270
841	6184	2262
842	6189	2254
843	6196	2246
844	6203	2239
845	6211	2232
846	6219	2224
847	6226	2217
848	6232	2209
849	6240	2202
850	6247	2195
851	6253	2187
852	6260	2179
853	6267	2172
854	6274	2164
855	6280	2157
856	6286	2149
857	6292	2141
858	6299	2134
859	6305	2126
860	6312	2118
861	6319	2111
862	6325	2103
863	6332	2096
864	6338	2088
865	6344	2080
866	6350	2072
867	6356	2065
868	6362	2057
869	6368	2049
870	6374	2041
871	6380	2034
872	6386	2026
873	6392	2018
874	6398	2010
875	6403	2002
876	6410	1995
877	6415	1987
878	6421	1979
879	6427	1972
880	6433	1964
881	6439	1956
882	6445	1949
883	6451	1941
884	6458	1934
885	6465	1926
886	6472	1919
887	6478	1911
888	6483	1903
889	6489	1895
890	6495	1888
891	6501	1880
892	6507	1872
893	6513	1865
894	6519	1857
895	6526	1850
896	6532	1842
897	6539	1835
898	6545	1827
899	6551	1819
900	6557	1812
901	6563	1804
902	6569	1797
903	6576	1789
904	6583	1782
905	6593	1775
906	6600	1768
907	6606	1760
908	6612	1753
909	6619	1745
910	6625	1738
911	6632	1730
912	6638	1723
913	6644	1715
914	6650	1708
915	6656	1700
916	6662	1692
917	6669	1685
918	6676	1678
919	6683	1670
920	6689	1663
921	6695	1655
922	6701	1648
923	6707	1640
924	6713	1633
925	6719	1625
926	6724	1617
927	6729	1609
928	6736	1602
929	6741	1594
930	6746	1587
931	6752	1579
932	6757	1571
933	6762	1563
934	6767	1556
935	6773	1548
936	6778	1540
937	6783	1533
938	6788	1525
939	6793	1517
940	6799	1510
941	6804	1502
942	6810	1494
943	6815	1487
944	6820	1479
945	6826	1472
946	6831	1464
947	6836	1456
948	6842	1449
949	6847	1441
950	6852	1433
951	6857	1426
952	6864	1419
953	6870	1411
954	6875	1403
955	6881	1396
956	6886	1388
957	6891	1381
958	6897	1373
959	6902	1366
960	6907	1358
961	6913	1351
962	6918	1343
963	6923	1335
964	6929	1328
965	6934	1320
966	6940	1313
967	6945	1305
968	6950	1298
969	6955	1290
970	6960	1283
971	6966	1275
972	6971	1268
973	6976	1260
974	6982	1253
975	6987	1245
976	6992	1238
977	6999	1231
978	7007	1224
979	7014	1216
980	7021	1209
981	7028	1202
982	7035	1195
983	7040	1187
984	7048	1180
985	7053	1173
986	7062	1166
987	7067	1158
988	7075	1151
989	7081	1144
990	7089	1137
991	7097	1130
992	7103	1123
993	7109	1115
994	7115	1108
995	7121	1101
996	7129	1094
997	7135	1086
998	7142	1079
999	7147	1072
1000	7154	1064
1001	7159	1057
1002	7166	1050
1003	7173	1043
1004	7179	1035
1005	7184	1028
1006	7190	1021
1007	7196	1013
1008	7203	1006
1009	7210	999
1010	7217	992
1011	7224	985
1012	7231	978
1013	7238	970
1014	7247	963
1015	7254	956
1016	7260	949
1017	7265	942
1018	7275	935
1019	7283	928
1020	7290	921
1021	7297	914
1022	7303	906
1023	7312	899
1024	7318	892
1025	7326	885
1026	7333	878
1027	7340	871
1028	7347	864
1029	7354	856
1030	7362	849
1031	7370	842
1032	7378	835
1033	7383	828
1034	7393	821
1035	7400	814
1036	7407	807
1037	7414	800
1038	7421	792
1039	7428	785
1040	7434	778
1041	7443	771
1042	7449	764
1043	7462	757
1044	7476	751
1045	7484	744
1046	7496	737
1047	7507	730
1048	7514	723
1049	7525	716
1050	7536	709
1051	7546	702
1052	7557	696
1053	7565	689
1054	7581	682
1055	7593	675
1056	7603	669
1057	7624	662
1058	7639	656
1059	7648	649
1060	7658	642
1061	7668	635
1062	7676	628
1063	7683	621
1064	7692	613
1065	7700	606
1066	7707	599
1067	7713	592
1068	7720	585
1069	7728	577
1070	7734	570
1071	7740	563
1072	7746	555
1073	7751	548
1074	7759	541
1075	7764	534
1076	7771	526
1077	7776	519
1078	7783	512
1079	7789	504
1080	7795	497
1081	7801	490
1082	7808	483
1083	7814	475
1084	7820	468
1085	7825	461
1086	7833	453
1087	7839	446
1088	7845	439
1089	7851	432
1090	7858	424
1091	7863	417
1092	7868	410
1093	7874	403
1094	7879	395
1095	7885	388
1096	7890	381
1097	7895	373
1098	7900	366
1099	7905	359
1100	7911	352
1101	7916	344
1102	7922	337
1103	7928	330
1104	7933	323
1105	7939	315
1106	7944	308
1107	7950	301
1108	7955	294
1109	7960	286
1110	7966	279
1111	7971	272
1112	7976	265
1113	7982	257
1114	7987	250
1115	7992	243
1116	7998	236
1117	8004	229
1118	8010	221
1119	8015	214
1120	8021	207
1121	8027	200
1122	8033	193
1123	8039	185
1124	8045	178
1125	8051	171
1126	8057	164
1127	8062	157
1128	8069	150
1129	8078	142
1130	8083	135
1131	8088	128
1132	8094	121
1133	8099	114
1134	8105	107
1135	8110	99
1136	8115	92
1137	8121	85
1138	8126	78
1139	8132	71
1140	8137	64
1141	8144	57
1142	8149	49
1143	8155	42
1144	8161	35
1145	8168	28
1146	8173	21
1147	8179	14
1148	8184	7
1149	8190	0
