feature_name,importance
Square,0.3821987643956381
Social_1,0.10215217559968705
Social_2,0.08890541806229685
Social_3,0.07873817896525731
Rooms,0.07652608071201865
DistrictId,0.052142516266560766
Ecology_1,0.049387140182573425
HouseYear,0.030176674385482386
KitchenSquare,0.024344412533078088
LifeSquare,0.02332639391162582
Shops_1,0.021804651318966608
free_square,0.019615279573851313
Floor,0.012551993800998132
HouseFloor,0.010733318079412576
Id,0.0101632792828167
Healthcare_1,0.008354813624434108
Helthcare_2,0.003786592934431529
count_rooms_on_the_floor,0.0031684504236261647
Shops_B,0.0006648544481193545
Ecology_3_A,0.0005226694986493308
Ecology_3_B,0.0005123023664517975
Ecology_2_B,0.00010234561508443455
Shops_A,7.193638977732714e-05
Ecology_2_A,4.9757629162188194e-05
